2025-06-24 05:15:41,233 | INFO     | django.utils.autoreload | run_with_reloader    | Line 667  | Watching for file changes with StatReloader
2025-06-24 05:15:46,147 | INFO     | django.utils.autoreload | trigger_reload       | Line 265  | D:\IDP_AI_App\Backend\Django Projects (2)\Django Projects\ImageExtraction\ImageApp1\views.py changed, reloading.
2025-06-24 05:15:47,794 | INFO     | django.utils.autoreload | run_with_reloader    | Line 667  | Watching for file changes with StatReloader
2025-06-24 05:19:57,802 | INFO     | django.utils.autoreload | trigger_reload       | Line 265  | D:\IDP_AI_App\Backend\Django Projects (2)\Django Projects\ImageExtraction\ImageApp1\views.py changed, reloading.
2025-06-24 05:19:59,439 | INFO     | django.utils.autoreload | run_with_reloader    | Line 667  | Watching for file changes with StatReloader
2025-06-24 05:20:17,629 | INFO     | django.utils.autoreload | run_with_reloader    | Line 667  | Watching for file changes with StatReloader
2025-06-24 05:21:09,034 | INFO     | authentication.views | post                 | Line 155  | Login attempt received.
2025-06-24 05:21:17,012 | INFO     | authentication.views | post                 | Line 155  | Login attempt received.
2025-06-24 05:21:17,648 | INFO     | authentication.views | post                 | Line 172  | Login successful for user: NikhilVDX
2025-06-24 05:21:17,658 | INFO     | authentication.views | post                 | Line 172  | Login successful for user: NikhilVDX
2025-06-24 05:21:24,975 | INFO     | ImageApp1.views | get                  | Line 131  | UserDocumentView accessed by user ID: 7
2025-06-24 05:21:24,976 | INFO     | ImageApp1.views | get                  | Line 138  | Fetching documents for user ID: 7
2025-06-24 05:21:25,018 | INFO     | ImageApp1.views | get                  | Line 147  | 102 documents retrieved successfully.
2025-06-24 05:26:56,374 | INFO     | authentication.views | post                 | Line 155  | Login attempt received.
2025-06-24 05:26:56,937 | INFO     | authentication.views | post                 | Line 172  | Login successful for user: abc
2025-06-24 05:27:39,564 | INFO     | ImageApp1.views | post                 | Line 294  | Upload request received
2025-06-24 05:27:42,202 | INFO     |            root | post                 | Line 459  | Input tokens: 1563, Output tokens: 79
2025-06-24 05:27:42,410 | ERROR    | ImageApp1.views | post                 | Line 508  | 500
2025-06-24 05:27:42,410 | ERROR    | ImageApp1.views | post                 | Line 509  | Error while processing document.
